species,date,geartype,sex,inches,grams,age,agestruct
BG,4/28/1999,BOOM SHOCKER,NA,2.1,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.2,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.2,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.2,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.2,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.2,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.2,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.3,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.3,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.3,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.3,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.3,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.3,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.3,4,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.3,4,NA,NA
